[[0, 14, -60.0, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -60.0, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -60.0, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 15, -59.79999923706055, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -59.599998474121094, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -57.58124923706055, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -55.443748474121094, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -53.27124786376953, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -51.09874725341797, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -48.926246643066406, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -46.753746032714844, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -44.58124542236328, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -42.488746643066406, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -40.47624588012695, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -38.54374694824219, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -36.691246032714844, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -34.91874694824219, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -33.22624588012695, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -31.613746643066406, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -30.081247329711914, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -28.628747940063477, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -27.256248474121094, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -25.963748931884766, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -24.751249313354492, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 20, -23.618749618530273, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -22.56624984741211, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -21.59375, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -20.701250076293945, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -19.888750076293945, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -19.15625, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -18.50374984741211, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -17.931249618530273, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -17.438749313354492, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -17.026248931884766, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -16.693748474121094, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -16.441247940063477, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -16.268747329711914, 9.999999747378752, 1.0, 0.0, 60.0, 4],
[0, 14, -16.176246643066406, 9.999999747378752, 1.0, 0.0, 60.0, 4],
