[[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 18, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 18, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 18, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 18, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 18, 53.98727798461914, 9.999999747378752, -1.0, 31.0, 60.0, 4],
[0, 18, 53.98727798461914, 9.999999747378752, 1.0, 31.0, 60.0, 4],
[0, 18, 53.98727798461914, 9.999999747378752, 1.0, 31.0, 60.0, 4],
[0, 18, 53.98727798461914, 9.999999747378752, 1.0, 31.0, 60.0, 4],
[0, 18, 53.98727798461914, 9.999999747378752, 1.0, 31.0, 60.0, 4],
[0, 18, 53.98727798461914, 9.999999747378752, 1.0, 31.0, 60.0, 4],
[0, 18, 53.98727798461914, 9.999999747378752, 1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, 1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, 1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, 1.0, 31.0, 60.0, 4],
[0, 14, 53.98727798461914, 9.999999747378752, 1.0, 31.0, 60.0, 4],
