[[-0.9299999999999999, -0.24, 0.0, 1.0],
[-0.925, -0.23963999999999996, 0.0, 1.0],
[-0.9, -0.23927999999999994, 0.0, 1.0],
[-0.9, -0.23339999999999994, 0.0, 1.0],
[-0.9, -0.22727999999999993, 0.0, 1.0],
[-0.9, -0.22092, 0.0, 1.0],
[-0.9, -0.21455999999999997, 0.0, 1.0],
[-0.9, -0.20820000000000005, 0.0, 1.0],
[-0.9, -0.20184000000000002, 0.0, 1.0],
[-0.9, -0.19548, 0.0, 1.0],
[-0.9, -0.18911999999999995, 0.0, 1.0],
[-0.9, -0.18276000000000003, 0.0, 1.0],
[-0.9, -0.1764, 0.0, 1.0],
[-0.9, -0.17003999999999997, 0.0, 1.0],
[-0.9, -0.16368000000000005, 0.0, 1.0],
[-0.9, -0.1573199999999999, 0.0, 1.0],
[-0.9, -0.15095999999999998, 0.0, 1.0],
[-0.895, -0.14460000000000006, 0.0, 1.0],
[-0.895, -0.13824000000000003, 0.0, 1.0],
[-0.895, -0.13188, 0.0, 1.0],
[-0.895, -0.12551999999999996, 0.0, 1.0],
[-0.895, -0.11915999999999993, 0.0, 1.0],
[-0.895, -0.1127999999999999, 0.0, 1.0],
[-0.895, -0.10644000000000009, 0.0, 1.0],
[-0.895, -0.10008000000000006, 0.0, 1.0],
[-0.895, -0.09372000000000003, 0.0, 1.0],
[-0.895, -0.08736, 0.0, 1.0],
[-0.895, -0.08099999999999996, 0.0, 1.0],
[-0.895, -0.07464000000000004, 0.0, 1.0],
[-0.895, -0.06828000000000001, 0.0, 1.0],
[-0.895, -0.061919999999999975, 0.0, 1.0],
[-0.895, -0.05555999999999994, 0.0, 1.0],
[-0.895, -0.04920000000000002, 0.0, 1.0],
[-0.895, -0.04283999999999999, 0.0, 1.0],
[-0.895, -0.03648000000000007, 0.0, 1.0],
[-0.895, -0.030120000000000036, 0.0, 1.0],
[-0.895, -0.023760000000000003, 0.0, 1.0],
[-0.895, -0.01739999999999997, 0.0, 1.0],
[-0.895, -0.011039999999999939, 0.0, 1.0],
[-0.895, -0.0046799999999999065, 0.0, 1.0],
[-0.895, 0.0016799999999999038, 0.0, 1.0],
[-0.895, 0.008040000000000047, 0.0, 1.0],
[-0.895, 0.014399999999999968, 0.0, 1.0],
[-0.895, 0.02075999999999989, 0.0, 1.0],
[-0.895, 0.02711999999999981, 0.0, 1.0],
[-0.895, 0.033479999999999954, 0.0, 1.0],
[-0.895, 0.039839999999999876, 0.0, 1.0],
[-0.895, 0.04620000000000002, 0.0, 1.0],
[-0.895, 0.05255999999999994, 0.0, 1.0],
[-0.895, 0.05892000000000008, 0.0, 1.0],
[-0.895, 0.06528, 0.0, 1.0],
[-0.895, 0.07164000000000015, 0.0, 1.0],
[-0.895, 0.07800000000000007, 0.0, 1.0],
[-0.895, 0.08435999999999999, 0.0, 1.0],
[-0.895, 0.09072000000000013, 0.0, 1.0],
[-0.895, 0.09707999999999983, 0.0, 1.0],
[-0.895, 0.10343999999999998, 0.0, 1.0],
[-0.895, 0.1097999999999999, 0.0, 1.0],
[-0.895, 0.11616000000000004, 0.0, 1.0],
[-0.895, 0.12251999999999996, 0.0, 1.0],
[-0.895, 0.1288800000000001, 0.0, 1.0],
[-0.895, 0.13524000000000003, 0.0, 1.0],
[-0.895, 0.14159999999999995, 0.0, 1.0],
[-0.895, 0.1479600000000001, 0.0, 1.0],
[-0.895, 0.15432, 0.0, 1.0],
[-0.895, 0.16068000000000016, 0.0, 1.0],
[-0.895, 0.16703999999999986, 0.0, 1.0],
[-0.895, 0.1734, 0.0, 1.0],
[-0.895, 0.17975999999999992, 0.0, 1.0],
[-0.895, 0.18611999999999984, 0.0, 1.0],
[-0.895, 0.19247999999999998, 0.0, 1.0],
[-0.895, 0.1988399999999999, 0.0, 1.0],
[-0.895, 0.20520000000000005, 0.0, 1.0],
[-0.895, 0.21151999999999993, 0.0, 1.0],
[-0.895, 0.21788000000000007, 0.0, 1.0],
[-0.895, 0.2230399999999999, 0.0, 1.0],
[-0.895, 0.22819999999999996, 0.0, 1.0],
[-0.895, 0.23312, 0.0, 1.0],
[-0.885, 0.2378, 0.0, 1.0],
[-0.885, 0.24224, 0.0, 1.0],
[-0.885, 0.24644, 0.0, 1.0],
[-0.885, 0.2504000000000002, 0.0, 1.0],
[-0.885, 0.2565200000000001, 0.0, 1.0],
[-0.885, 0.2624000000000002, 0.0, 1.0],
[-0.885, 0.26804000000000006, 0.0, 1.0],
[-0.885, 0.2734400000000001, 0.0, 1.0],
[-0.885, 0.2774000000000001, 0.0, 1.0],
[-0.885, 0.2811199999999998, 0.0, 1.0],
[-0.885, 0.28459999999999996, 0.0, 1.0],
[-0.885, 0.2878399999999999, 0.0, 1.0],
[-0.885, 0.29084, 0.0, 1.0],
[-0.885, 0.29359999999999986, 0.0, 1.0],
[-0.885, 0.29611999999999994, 0.0, 1.0],
[-0.885, 0.2984, 0.0, 1.0],
[-0.885, 0.30044000000000004, 0.0, 1.0],
[-0.885, 0.30224000000000006, 0.0, 1.0],
[-0.885, 0.30379999999999985, 0.0, 1.0],
[-0.885, 0.30511999999999984, 0.0, 1.0],
[-0.885, 0.3062, 0.0, 1.0],
[-0.885, 0.30704, 0.0, 1.0]]
