[[-0.9, -0.08628000000000002, 0.0, 1.0],
[-0.9, -0.07899999999999996, 0.0, 1.0],
[-0.9, -0.07203999999999999, 0.0, 1.0],
[-0.9, -0.06540000000000001, 0.0, 1.0],
[-0.9, -0.05908000000000002, 0.0, 1.0],
[-0.9, -0.053080000000000016, 0.0, 1.0],
[-0.9, -0.04715999999999998, 0.0, 1.0],
[-0.9, -0.041240000000000054, 0.0, 1.0],
[-0.9, -0.035640000000000005, 0.0, 1.0],
[-0.9, -0.030320000000000014, 0.0, 1.0],
[-0.9, -0.02536000000000005, 0.0, 1.0],
[-0.9, -0.02072000000000007, 0.0, 1.0],
[-0.9, -0.01639999999999997, 0.0, 1.0],
[-0.91, -0.015639999999999987, 0.0, 1.0],
[-0.9, -0.014880000000000004, 0.0, -1.0],
[-0.9, -0.021399999999999975, 0.0, -1.0],
[-0.9, -0.02760000000000007, 0.0, -1.0],
[-0.9, -0.033519999999999994, 0.0, -1.0],
[-0.9, -0.03944000000000003, 0.0, -1.0],
[-0.9, -0.04527999999999999, 0.0, -1.0],
[-0.9, -0.050839999999999996, 0.0, -1.0],
[-0.9, -0.05603999999999998, 0.0, -1.0],
[-0.9, -0.060919999999999974, 0.0, -1.0],
[-0.91, -0.061840000000000006, 0.0, -1.0],
[-0.9, -0.06272, 0.0, 1.0],
[-0.9, -0.056359999999999966, 0.0, 1.0],
[-0.9, -0.05027999999999999, 0.0, 1.0],
[-0.9, -0.044360000000000066, 0.0, 1.0],
[-0.9, -0.03836000000000006, 0.0, 1.0],
[-0.9, -0.03251999999999999, 0.0, 1.0],
[-0.9, -0.026600000000000068, 0.0, 1.0],
[-0.9, -0.02100000000000002, 0.0, 1.0],
[-0.9, -0.015679999999999916, 0.0, 1.0],
[-0.9, -0.010720000000000063, 0.0, 1.0],
[-0.9, -0.006080000000000085, 0.0, 1.0],
[-0.9, -0.0017599999999999838, 0.0, 1.0],
[-0.9, 0.0022400000000000198, 0.0, 1.0],
[-0.9, 0.005919999999999925, 0.0, 1.0],
[-0.9, 0.009279999999999955, 0.0, 1.0],
[-0.9, 0.012320000000000109, 0.0, 1.0],
[-0.9, 0.015079999999999982, 0.0, 1.0],
[-0.91, 0.01544000000000012, 0.0, 1.0],
[-0.9, 0.015800000000000036, 0.0, -1.0],
[-0.9, 0.008879999999999999, 0.0, -1.0],
[-0.9, 0.0022800000000000598, 0.0, -1.0],
[-0.9, -0.0040000000000000036, 0.0, -1.0],
[-0.9, -0.00996000000000008, 0.0, -1.0],
[-0.9, -0.015880000000000005, 0.0, -1.0],
[-0.9, -0.02179999999999993, 0.0, -1.0],
[-0.9, -0.02748000000000006, 0.0, -1.0],
[-0.91, -0.02855999999999992, 0.0, -1.0],
[-0.9, -0.02967999999999993, 0.0, 1.0],
[-0.9, -0.023480000000000056, 0.0, 1.0],
[-0.9, -0.01755999999999991, 0.0, 1.0],
[-0.9, -0.011639999999999984, 0.0, 1.0],
[-0.9, -0.005720000000000058, 0.0, 1.0],
[-0.9, 0.0, 0.0, 1.0],
[-0.9, 0.0052000000000000934, 0.0, 1.0],
[-0.9, 0.010159999999999947, 0.0, 1.0],
[-0.9, 0.014799999999999924, 0.0, 1.0],
[-0.9, 0.019120000000000026, 0.0, 1.0],
[-0.9, 0.02312000000000003, 0.0, 1.0],
[-0.9, 0.026799999999999935, 0.0, 1.0],
[-0.9, 0.030160000000000187, 0.0, 1.0],
[-0.9, 0.033239999999999936, 0.0, 1.0],
[-0.9, 0.03595999999999999, 0.0, 1.0],
[-0.91, 0.03631999999999991, 0.0, 1.0],
[-0.9, 0.036680000000000046, 0.0, -1.0],
[-0.9, 0.02976000000000001, 0.0, -1.0],
[-0.9, 0.02316000000000007, 0.0, -1.0],
[-0.9, 0.016880000000000006, 0.0, -1.0],
[-0.9, 0.01092000000000004, 0.0, -1.0],
[-0.9, 0.004999999999999893, 0.0, -1.0],
[-0.9, -0.0009199999999999209, 0.0, -1.0],
[-0.9, -0.00651999999999997, 0.0, -1.0],
[-0.9, -0.011840000000000073, 0.0, -1.0],
[-0.91, -0.012840000000000074, 0.0, -1.0],
[-0.9, -0.013840000000000074, 0.0, 1.0],
[-0.9, -0.0075599999999999, 0.0, 1.0],
[-0.9, -0.0016000000000000458, 0.0, 1.0],
[-0.9, 0.0043200000000001015, 0.0, 1.0],
[-0.9, 0.010280000000000067, 0.0, 1.0],
[-0.9, 0.015959999999999974, 0.0, 1.0],
[-0.9, 0.021360000000000046, 0.0, 1.0],
[-0.9, 0.0264000000000002, 0.0, 1.0],
[-0.9, 0.031160000000000077, 0.0, 1.0],
[-0.9, 0.035560000000000036, 0.0, 1.0],
[-0.9, 0.03968000000000016, 0.0, 1.0],
[-0.9, 0.043440000000000145, 0.0, 1.0],
[-0.9, 0.04692000000000007, 0.0, 1.0],
[-0.9, 0.05003999999999986, 0.0, 1.0],
[-0.9, 0.05288000000000004, 0.0, 1.0],
[-0.91, 0.053239999999999954, 0.0, 1.0],
[-0.9, 0.05364000000000013, 0.0, -1.0],
[-0.9, 0.046720000000000095, 0.0, -1.0],
[-0.9, 0.040159999999999973, 0.0, -1.0],
[-0.9, 0.03392000000000017, 0.0, -1.0],
[-0.9, 0.027959999999999985, 0.0, -1.0],
[-0.9, 0.02204000000000006, 0.0, -1.0],
[-0.9, 0.016119999999999912, 0.0, -1.0]]
