[[0, 23, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 23, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 18, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 18, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 18, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 18, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 18, -32.28994369506836, 9.999999747378752e-05, 1.0, 0.0, 60.0, 4],
[0, 18, -32.28994369506836, 9.999999747378752e-05, -1.0, 0.0, 60.0, 4],
[0, 18, -32.28994369506836, 9.999999747378752e-05, -1.0, 0.0, 60.0, 4],
[0, 18, -32.28994369506836, 9.999999747378752e-05, -1.0, 0.0, 60.0, 4],
[0, 18, -32.28994369506836, 9.999999747378752e-05, -1.0, 0.0, 60.0, 4],
[0, 18, -32.28994369506836, 9.999999747378752e-05, -1.0, 0.0, 60.0, 4],
[0, 18, -32.28994369506836, 9.999999747378752e-05, -1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, -1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, -1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, -1.0, 0.0, 60.0, 4],
[0, 14, -32.28994369506836, 9.999999747378752e-05, -1.0, 0.0, 60.0, 4],
