[[-0.9, -0.03944000000000003, 0.0, 1.0],
[-0.9, -0.03424000000000005, 0.0, 1.0],
[-0.9, -0.02872000000000008, 0.0, 1.0],
[-0.9, -0.022840000000000082, 0.0, 1.0],
[-0.9, -0.016919999999999935, 0.0, 1.0],
[-0.9, -0.01100000000000001, 0.0, 1.0],
[-0.9, -0.005320000000000102, 0.0, 1.0],
[-0.9, 0.0, 0.0, 1.0],
[-0.9, 0.005319999999999991, 0.0, 1.0],
[-0.9, 0.010280000000000067, 0.0, 1.0],
[-0.9, 0.015039999999999942, 0.0, 1.0],
[-0.9, 0.019519999999999982, 0.0, 1.0],
[-0.9, 0.023840000000000083, 0.0, 1.0],
[-0.91, 0.024680000000000035, 0.0, 1.0],
[-0.9, 0.025519999999999987, 0.0, -1.0],
[-0.9, 0.020040000000000058, 0.0, -1.0],
[-0.9, 0.01424000000000003, 0.0, -1.0],
[-0.9, 0.008320000000000105, 0.0, -1.0],
[-0.9, 0.0023999999999999577, 0.0, -1.0],
[-0.9, -0.0035199999999999676, 0.0, -1.0],
[-0.9, -0.009480000000000044, 0.0, -1.0],
[-0.9, -0.01539999999999997, 0.0, -1.0],
[-0.9, -0.021079999999999988, 0.0, -1.0],
[-0.9, -0.026519999999999988, 0.0, -1.0],
[-0.91, -0.027639999999999998, 0.0, -1.0],
[-0.9, -0.028799999999999937, 0.0, 1.0],
[-0.9, -0.023600000000000065, 0.0, 1.0],
[-0.9, -0.018080000000000096, 0.0, 1.0],
[-0.9, -0.012240000000000029, 0.0, 1.0],
[-0.9, -0.006399999999999961, 0.0, 1.0],
[-0.9, -0.0005599999999998939, 0.0, 1.0],
[-0.9, 0.005039999999999933, 0.0, 1.0],
[-0.91, 0.006199999999999983, 0.0, 1.0],
[-0.9, 0.007360000000000033, 0.0, -1.0],
[-0.9, 0.0022400000000000198, 0.0, -1.0],
[-0.9, -0.0032400000000000206, 0.0, -1.0],
[-0.9, -0.009039999999999937, 0.0, -1.0],
[-0.9, -0.014960000000000084, 0.0, -1.0],
[-0.9, -0.02088000000000001, 0.0, -1.0],
[-0.9, -0.026799999999999935, 0.0, -1.0],
[-0.9, -0.03255999999999992, 0.0, -1.0],
[-0.91, -0.03376000000000001, 0.0, -1.0],
[-0.9, -0.03495999999999999, 0.0, 1.0],
[-0.9, -0.029839999999999978, 0.0, 1.0],
[-0.9, -0.024399999999999977, 0.0, 1.0],
[-0.9, -0.01863999999999999, 0.0, 1.0],
[-0.9, -0.012720000000000065, 0.0, 1.0],
[-0.9, -0.006879999999999997, 0.0, 1.0],
[-0.9, -0.0012799999999999478, 0.0, 1.0],
[-0.9, 0.0040800000000000836, 0.0, 1.0],
[-0.91, 0.0052000000000000934, 0.0, 1.0],
[-0.9, 0.006320000000000103, 0.0, -1.0],
[-0.9, 0.0010799999999999699, 0.0, -1.0],
[-0.9, -0.0044399999999999995, 0.0, -1.0],
[-0.9, -0.010279999999999956, 0.0, -1.0],
[-0.9, -0.016199999999999992, 0.0, -1.0],
[-0.9, -0.022159999999999958, 0.0, -1.0],
[-0.9, -0.027840000000000087, 0.0, -1.0],
[-0.9, -0.033279999999999976, 0.0, -1.0],
[-0.9, -0.03852, 0.0, -1.0],
[-0.91, -0.03955999999999993, 0.0, -1.0],
[-0.9, -0.04064000000000001, 0.0, 1.0],
[-0.9, -0.03539999999999999, 0.0, 1.0],
[-0.9, -0.029839999999999978, 0.0, 1.0],
[-0.9, -0.02391999999999994, 0.0, 1.0],
[-0.9, -0.018000000000000016, 0.0, 1.0],
[-0.9, -0.012319999999999998, 0.0, 1.0],
[-0.9, -0.006840000000000068, 0.0, 1.0],
[-0.91, -0.005720000000000058, 0.0, 1.0],
[-0.9, -0.0046000000000000485, 0.0, -1.0],
[-0.9, -0.00979999999999992, 0.0, -1.0],
[-0.9, -0.01532, 0.0, -1.0],
[-0.9, -0.021120000000000028, 0.0, -1.0],
[-0.9, -0.026720000000000077, 0.0, -1.0],
[-0.9, -0.03208, 0.0, -1.0],
[-0.9, -0.03715999999999997, 0.0, -1.0],
[-0.9, -0.042039999999999966, 0.0, -1.0],
[-0.9, -0.046640000000000015, 0.0, -1.0],
[-0.9, -0.051039999999999974, 0.0, -1.0],
[-0.9, -0.05520000000000003, 0.0, -1.0],
[-0.9, -0.05908000000000002, 0.0, -1.0],
[-0.9, -0.06276000000000004, 0.0, -1.0],
[-0.9, -0.06620000000000004, 0.0, -1.0],
[-0.9, -0.06935999999999998, 0.0, -1.0],
[-0.9, -0.07231999999999994, 0.0, -1.0],
[-0.9, -0.07504, 0.0, -1.0],
[-0.9, -0.07748, 0.0, -1.0],
[-0.9, -0.07972000000000001, 0.0, -1.0],
[-0.9, -0.08172000000000001, 0.0, -1.0],
[-0.9, -0.08344000000000007, 0.0, -1.0],
[-0.9299999999999999, -0.08496000000000004, 0.0, -1.0],
[-0.9299999999999999, -0.08623999999999998, 0.0, -1.0],
[-0.9299999999999999, -0.08723999999999998, 0.0, -1.0],
[-0.9299999999999999, -0.08804000000000001, 0.0, -1.0],
[-0.9299999999999999, -0.08860000000000001, 0.0, -1.0],
[-0.9299999999999999, -0.08887999999999996, 0.0, -1.0],
[-0.9299999999999999, -0.08896000000000004, 0.0, -1.0],
[-0.9299999999999999, -0.08896000000000004, 0.0, -1.0],
[-0.9299999999999999, -0.08896000000000004, 0.0, -1.0],
[-0.9299999999999999, -0.08896000000000004, 0.0, -1.0]]
